product_id,title,handle,description,product_type,vendor,collection,gender_segment,tags,status,created_at
prod_00001,Essential Tee,essential-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Core,mens,"['drop:core', 'category:tee', 'gender:mens']",active,2024-06-01T00:00:00
prod_00002,Classic Hoodie,classic-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Core,mens,"['drop:core', 'category:hoodie', 'gender:mens']",active,2024-06-01T00:00:00
prod_00003,Everyday Sweatpants,everyday-sweatpants,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Core,mens,"['drop:core', 'category:sweatpants', 'gender:mens']",active,2024-06-01T00:00:00
prod_00004,Logo Cap,logo-cap,"Six-panel construction, curved brim, adjustable strap. Embroidered logo. Sits right on day one.",Cap,Pretty Fly,Core,mens,"['drop:core', 'category:cap', 'gender:mens']",active,2024-06-01T00:00:00
prod_00005,Court Trainer,court-trainer,"Full-grain leather upper, chunky rubber sole, padded collar. Handmade in Portugal. Breaks in, never breaks down.",Trainer,Pretty Fly,Core,mens,"['drop:core', 'category:trainer', 'gender:mens']",active,2024-06-01T00:00:00
prod_00006,Staple Tee,staple-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Core,mens,"['drop:core', 'category:tee', 'gender:mens']",active,2024-06-01T00:00:00
prod_00007,Relaxed Hoodie,relaxed-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Core,mens,"['drop:core', 'category:hoodie', 'gender:mens']",active,2024-06-01T00:00:00
prod_00008,Slim Sweatpants,slim-sweatpants,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Core,mens,"['drop:core', 'category:sweatpants', 'gender:mens']",active,2024-06-01T00:00:00
prod_00009,Arch Logo Tee,arch-logo-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Core,mens,"['drop:core', 'category:tee', 'gender:mens']",active,2024-06-01T00:00:00
prod_00010,Heavyweight Hoodie,heavyweight-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Core,mens,"['drop:core', 'category:hoodie', 'gender:mens']",active,2024-06-01T00:00:00
prod_00011,Script Cap,script-cap,"Six-panel construction, curved brim, adjustable strap. Embroidered logo. Sits right on day one.",Cap,Pretty Fly,Core,mens,"['drop:core', 'category:cap', 'gender:mens']",active,2024-06-01T00:00:00
prod_00012,Heritage Tee,heritage-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Core,mens,"['drop:core', 'category:tee', 'gender:mens']",active,2024-06-01T00:00:00
prod_00013,Utility Sweatpants,utility-sweatpants,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Core,mens,"['drop:core', 'category:sweatpants', 'gender:mens']",active,2024-06-01T00:00:00
prod_00014,Emblem Cap,emblem-cap,"Six-panel construction, curved brim, adjustable strap. Embroidered logo. Sits right on day one.",Cap,Pretty Fly,Core,mens,"['drop:core', 'category:cap', 'gender:mens']",active,2024-06-01T00:00:00
prod_00015,Track Hoodie,track-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Core,mens,"['drop:core', 'category:hoodie', 'gender:mens']",active,2024-06-01T00:00:00
prod_00016,Washed Logo Tee,washed-logo-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Summer 24,mens,"['drop:summer_24', 'category:tee', 'gender:mens']",active,2024-06-03T00:00:00
prod_00017,Mesh Panel Cap,mesh-panel-cap,"Six-panel construction, curved brim, adjustable strap. Embroidered logo. Sits right on day one.",Cap,Pretty Fly,Summer 24,mens,"['drop:summer_24', 'category:cap', 'gender:mens']",active,2024-06-03T00:00:00
prod_00018,Boxy Crop Tee,boxy-crop-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Summer 24,mens,"['drop:summer_24', 'category:tee', 'gender:mens']",active,2024-06-03T00:00:00
prod_00019,Linen Blend Tee,linen-blend-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Summer 24,mens,"['drop:summer_24', 'category:tee', 'gender:mens']",active,2024-06-03T00:00:00
prod_00020,Summer Knit Hoodie,summer-knit-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Summer 24,mens,"['drop:summer_24', 'category:hoodie', 'gender:mens']",active,2024-06-03T00:00:00
prod_00021,Boardshort Sweatpants,boardshort-sweatpants,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Summer 24,mens,"['drop:summer_24', 'category:sweatpants', 'gender:mens']",active,2024-06-03T00:00:00
prod_00022,Fleece Hoodie,fleece-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Autumn 24,mens,"['drop:autumn_24', 'category:hoodie', 'gender:mens']",active,2024-09-02T00:00:00
prod_00023,Brushed Sweatpants,brushed-sweatpants,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Autumn 24,mens,"['drop:autumn_24', 'category:sweatpants', 'gender:mens']",active,2024-09-02T00:00:00
prod_00024,Varsity Tee,varsity-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Autumn 24,mens,"['drop:autumn_24', 'category:tee', 'gender:mens']",active,2024-09-02T00:00:00
prod_00025,Wool Blend Cap,wool-blend-cap,"Six-panel construction, curved brim, adjustable strap. Embroidered logo. Sits right on day one.",Cap,Pretty Fly,Autumn 24,mens,"['drop:autumn_24', 'category:cap', 'gender:mens']",active,2024-09-02T00:00:00
prod_00026,Mid Runner Trainer,mid-runner-trainer,"Full-grain leather upper, chunky rubber sole, padded collar. Handmade in Portugal. Breaks in, never breaks down.",Trainer,Pretty Fly,Autumn 24,mens,"['drop:autumn_24', 'category:trainer', 'gender:mens']",active,2024-09-02T00:00:00
prod_00027,Quilted Overshirt,quilted-overshirt,"Premium outerwear built for London weather and everywhere else. Technical fabrics, considered details, no compromise.",Outerwear,Pretty Fly,Autumn 24,mens,"['drop:autumn_24', 'category:outerwear', 'gender:mens']",active,2024-09-02T00:00:00
prod_00028,Puffer Jacket,puffer-jacket,"Premium outerwear built for London weather and everywhere else. Technical fabrics, considered details, no compromise.",Outerwear,Pretty Fly,Winter 24,mens,"['drop:winter_24', 'category:outerwear', 'gender:mens']",active,2024-11-15T00:00:00
prod_00029,Sherpa Hoodie,sherpa-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Winter 24,mens,"['drop:winter_24', 'category:hoodie', 'gender:mens']",active,2024-11-15T00:00:00
prod_00030,Thermal Sweatpants,thermal-sweatpants,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Winter 24,mens,"['drop:winter_24', 'category:sweatpants', 'gender:mens']",active,2024-11-15T00:00:00
prod_00031,Winter Logo Tee,winter-logo-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Winter 24,mens,"['drop:winter_24', 'category:tee', 'gender:mens']",active,2024-11-15T00:00:00
prod_00032,Garment Dyed Tee,garment-dyed-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Spring 25,mens,"['drop:spring_25', 'category:tee', 'gender:mens']",active,2025-02-24T00:00:00
prod_00033,Zip Hoodie,zip-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Spring 25,mens,"['drop:spring_25', 'category:hoodie', 'gender:mens']",active,2025-02-24T00:00:00
prod_00034,Cropped Sweatpants,cropped-sweatpants,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Spring 25,mens,"['drop:spring_25', 'category:sweatpants', 'gender:mens']",active,2025-02-24T00:00:00
prod_00035,Cord Cap,cord-cap,"Six-panel construction, curved brim, adjustable strap. Embroidered logo. Sits right on day one.",Cap,Pretty Fly,Spring 25,mens,"['drop:spring_25', 'category:cap', 'gender:mens']",active,2025-02-24T00:00:00
prod_00036,Canvas Trainer,canvas-trainer,"Full-grain leather upper, chunky rubber sole, padded collar. Handmade in Portugal. Breaks in, never breaks down.",Trainer,Pretty Fly,Spring 25,mens,"['drop:spring_25', 'category:trainer', 'gender:mens']",active,2025-02-24T00:00:00
prod_00037,Resort Tee,resort-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Summer 25,mens,"['drop:summer_25', 'category:tee', 'gender:mens']",active,2025-06-02T00:00:00
prod_00038,Open Knit Hoodie,open-knit-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Summer 25,mens,"['drop:summer_25', 'category:hoodie', 'gender:mens']",active,2025-06-02T00:00:00
prod_00039,Tech Runner Trainer,tech-runner-trainer,"Full-grain leather upper, chunky rubber sole, padded collar. Handmade in Portugal. Breaks in, never breaks down.",Trainer,Pretty Fly,Summer 25,mens,"['drop:summer_25', 'category:trainer', 'gender:mens']",active,2025-06-02T00:00:00
prod_00040,Pigment Dyed Tee,pigment-dyed-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Summer 25,mens,"['drop:summer_25', 'category:tee', 'gender:mens']",active,2025-06-02T00:00:00
prod_00041,Heavy Fleece Hoodie,heavy-fleece-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Autumn 25,mens,"['drop:autumn_25', 'category:hoodie', 'gender:mens']",active,2025-09-01T00:00:00
prod_00042,Cargo Sweatpants,cargo-sweatpants,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Autumn 25,mens,"['drop:autumn_25', 'category:sweatpants', 'gender:mens']",active,2025-09-01T00:00:00
prod_00043,Vintage Wash Tee,vintage-wash-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Autumn 25,mens,"['drop:autumn_25', 'category:tee', 'gender:mens']",active,2025-09-01T00:00:00
prod_00044,Wool Overcoat,wool-overcoat,"Premium outerwear built for London weather and everywhere else. Technical fabrics, considered details, no compromise.",Outerwear,Pretty Fly,Autumn 25,mens,"['drop:autumn_25', 'category:outerwear', 'gender:mens']",active,2025-09-01T00:00:00
prod_00045,Structured Cap,structured-cap,"Six-panel construction, curved brim, adjustable strap. Embroidered logo. Sits right on day one.",Cap,Pretty Fly,Autumn 25,mens,"['drop:autumn_25', 'category:cap', 'gender:mens']",active,2025-09-01T00:00:00
prod_00046,Essential Relaxed Tee,essential-relaxed-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Womens Launch / Winter 25,womens,"['drop:womens_launch___winter_25', 'category:tee', 'gender:womens']",active,2025-12-01T00:00:00
prod_00047,Womens Relaxed Hoodie,womens-relaxed-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Womens Launch / Winter 25,womens,"['drop:womens_launch___winter_25', 'category:hoodie', 'gender:womens']",active,2025-12-01T00:00:00
prod_00048,Womens Wide-Leg Sweatpant,womens-wide-leg-sweatpant,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Womens Launch / Winter 25,womens,"['drop:womens_launch___winter_25', 'category:sweatpants', 'gender:womens']",active,2025-12-01T00:00:00
prod_00049,Womens Logo Cap,womens-logo-cap,"Six-panel construction, curved brim, adjustable strap. Embroidered logo. Sits right on day one.",Cap,Pretty Fly,Womens Launch / Winter 25,womens,"['drop:womens_launch___winter_25', 'category:cap', 'gender:womens']",active,2025-12-01T00:00:00
prod_00050,Womens Cropped Hoodie,womens-cropped-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Womens Launch / Winter 25,womens,"['drop:womens_launch___winter_25', 'category:hoodie', 'gender:womens']",active,2025-12-01T00:00:00
prod_00051,Womens Fitted Tee,womens-fitted-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Womens Launch / Winter 25,womens,"['drop:womens_launch___winter_25', 'category:tee', 'gender:womens']",active,2025-12-01T00:00:00
prod_00052,Womens Boxy Tee,womens-boxy-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Womens Launch / Winter 25,womens,"['drop:womens_launch___winter_25', 'category:tee', 'gender:womens']",active,2025-12-01T00:00:00
prod_00053,Womens Mini Sweatpant,womens-mini-sweatpant,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Womens Launch / Winter 25,womens,"['drop:womens_launch___winter_25', 'category:sweatpants', 'gender:womens']",active,2025-12-01T00:00:00
prod_00054,Down Puffer Vest,down-puffer-vest,"Premium outerwear built for London weather and everywhere else. Technical fabrics, considered details, no compromise.",Outerwear,Pretty Fly,Womens Launch / Winter 25,mens,"['drop:womens_launch___winter_25', 'category:outerwear', 'gender:mens']",active,2025-12-01T00:00:00
prod_00055,Fleece Lined Sweatpants,fleece-lined-sweatpants,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Womens Launch / Winter 25,mens,"['drop:womens_launch___winter_25', 'category:sweatpants', 'gender:mens']",active,2025-12-01T00:00:00
prod_00056,Holiday Graphic Tee,holiday-graphic-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Womens Launch / Winter 25,mens,"['drop:womens_launch___winter_25', 'category:tee', 'gender:mens']",active,2025-12-01T00:00:00
prod_00057,Beanie Cap,beanie-cap,"Six-panel construction, curved brim, adjustable strap. Embroidered logo. Sits right on day one.",Cap,Pretty Fly,Womens Launch / Winter 25,mens,"['drop:womens_launch___winter_25', 'category:cap', 'gender:mens']",active,2025-12-01T00:00:00
prod_00058,Pastel Tee,pastel-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Spring 26,mens,"['drop:spring_26', 'category:tee', 'gender:mens']",active,2026-02-23T00:00:00
prod_00059,Spring Zip Hoodie,spring-zip-hoodie,"Brushed-back 400gsm French terry. Oversized fit, kangaroo pocket, flat-cord drawstring. Looks better lived in.",Hoodie,Pretty Fly,Spring 26,mens,"['drop:spring_26', 'category:hoodie', 'gender:mens']",active,2026-02-23T00:00:00
prod_00060,Womens Spring Tee,womens-spring-tee,"Cut from heavyweight 240gsm cotton. Relaxed fit, ribbed collar, woven label at back neck. The one you'll reach for every time.",Tee,Pretty Fly,Spring 26,womens,"['drop:spring_26', 'category:tee', 'gender:womens']",active,2026-02-23T00:00:00
prod_00061,Womens Relaxed Sweatpant,womens-relaxed-sweatpant,"Same 400gsm French terry as the hoodies. Elasticated waist, tapered leg, side pockets deep enough for your phone and your pride.",Sweatpants,Pretty Fly,Spring 26,womens,"['drop:spring_26', 'category:sweatpants', 'gender:womens']",active,2026-02-23T00:00:00
prod_00062,Light Parka,light-parka,"Premium outerwear built for London weather and everywhere else. Technical fabrics, considered details, no compromise.",Outerwear,Pretty Fly,Spring 26,mens,"['drop:spring_26', 'category:outerwear', 'gender:mens']",active,2026-02-23T00:00:00
